+-----------------------------------------------------------------+
|             All CSS property-value combinations,                |
|              that appeared more than 1000 times.                |
+-----------------------------+--------------------------+--------+
| CSS property                | CSS property value       | count  |
+-----------------------------+--------------------------+--------+
| -moz-border-radius          | px                       |   6130 |
| a                           | #rrggbb                  |  14001 |
| active                      | #ffffff                  |   8955 |
| align                       | left                     |  17378 |
| align                       | center                   |   5104 |
| alink                       | black                    |   2183 |
| argin-bottom                | INTEGER                  |   6850 |
| background                  | #rrggbb                  |  63327 |
| background                  | url(gif)                 |  39804 |
| background                  | no-repeat                |  30996 |
| background                  | url(jpg)                 |  29537 |
| background                  | left                     |  28908 |
| background                  | top                      |  24955 |
| background                  | #ffffff                  |  22914 |
| background                  | repeat-x                 |  21335 |
| background                  | #fff                     |  14803 |
| background                  | bottom                   |  14541 |
| background                  | right                    |  14330 |
| background                  | px                       |  13205 |
| background                  | transparent              |  12704 |
| background                  | white                    |  10646 |
| background                  | #rgb                     |  10296 |
| background                  | none                     |   9377 |
| background                  | repeat-y                 |   9097 |
| background                  | center                   |   6441 |
| background                  | fixed                    |   5262 |
| background                  | INTEGER                  |   5224 |
| background                  | url(png)                 |   5219 |
| background                  | %                        |   5024 |
| background                  | repeat                   |   4851 |
| background                  | #000000                  |   3571 |
| background                  | rgb()                    |   2875 |
| background                  | #000                     |   1886 |
| background                  | #ff0000                  |   1881 |
| background                  | scroll                   |   1476 |
| background                  | black                    |   1462 |
| background                  | #00ff00                  |   1431 |
| background                  | url()                    |   1395 |
| background                  | em                       |   1050 |
| background-attachment       | fixed                    |   6345 |
| background-attachment       | scroll                   |   3058 |
| background-color            | #rrggbb                  | 180127 |
| background-color            | #ffffff                  | 126433 |
| background-color            | #rgb                     |  39702 |
| background-color            | white                    |  38708 |
| background-color            | #fff                     |  30172 |
| background-color            | #000000                  |  19698 |
| background-color            | transparent              |  19435 |
| background-color            | #ffff00                  |   7248 |
| background-color            | rgb()                    |   7175 |
| background-color            | #000                     |   6150 |
| background-color            | rgb(255,255,255)         |   5878 |
| background-color            | black                    |   4632 |
| background-color            | #ff0000                  |   3982 |
| background-color            | #c0c0c0                  |   3666 |
| background-color            | yellow                   |   2731 |
| background-color            | #000080                  |   2694 |
| background-color            | #f00                     |   2659 |
| background-color            | blue                     |   2376 |
| background-color            | rgb(0,0,0)               |   2246 |
| background-color            | silver                   |   2034 |
| background-color            | red                      |   1682 |
| background-color            | INTEGER                  |   1474 |
| background-color            | lightyellow              |   1247 |
| background-color            | #808080                  |   1245 |
| background-color            | ffffff                   |   1239 |
